ask,bid,last,open,low,high,volume,volumeQuote,timestamp
6739.56,6736.50,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:12.249Z
6739.52,6735.26,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.453Z
6739.52,6735.26,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.453Z
6739.52,6735.26,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.453Z
6739.52,6735.26,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.453Z
6739.51,6734.93,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.647Z
6739.51,6734.93,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.647Z
6739.51,6734.92,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.748Z
6739.51,6734.92,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.748Z
6739.51,6734.93,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.850Z
6739.51,6734.93,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.850Z
6739.51,6734.93,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.948Z
6739.51,6734.93,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:12.948Z
6739.51,6734.94,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.046Z
6739.51,6734.94,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.046Z
6739.51,6734.94,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.046Z
6739.52,6735.13,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.247Z
6739.52,6735.13,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.247Z
6739.52,6735.13,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.247Z
6739.52,6735.13,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.247Z
6739.52,6735.27,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.447Z
6739.52,6735.27,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.447Z
6739.52,6735.27,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.447Z
6739.52,6735.27,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.447Z
6739.52,6735.27,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.447Z
6739.52,6735.27,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.447Z
6739.52,6736.79,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.746Z
6739.52,6736.79,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.746Z
6739.52,6736.79,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.847Z
6739.52,6736.79,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.847Z
6740.36,6736.85,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.949Z
6740.36,6736.85,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.949Z
